prefLabel,termURI
Eonisme,https://data.ihlia.nl/homosaurus/homoit0000395
Eonisten,https://data.ihlia.nl/homosaurus/homoit0000396
Seksuele inversie,https://data.ihlia.nl/homosaurus/homoit0001296
Homoseksuelen,https://data.ihlia.nl/homosaurus/homoit0000648
Uraniërs,https://data.ihlia.nl/homosaurus/homoit0001484
Sodomieten,https://data.ihlia.nl/homosaurus/homoit0000227
Homofielen,https://data.ihlia.nl/homosaurus/homoit0000645
Geïnverteerden,https://data.ihlia.nl/homosaurus/homoit0000677
Faggots,https://data.ihlia.nl/homosaurus/homoit0000418
Sea queens,https://data.ihlia.nl/homosaurus/homoit0001258
Tribaden,https://data.ihlia.nl/homosaurus/homoit0001472
Fricatrices,https://data.ihlia.nl/homosaurus/homoit0000454
Travestieten,https://data.ihlia.nl/homosaurus/homoit0001470
Sodomie,https://data.ihlia.nl/homosaurus/homoit0001325
Pederastie,https://data.ihlia.nl/homosaurus/homoit0001095
Pederasten,https://data.ihlia.nl/homosaurus/homoit0001094
Tribadisme,https://data.ihlia.nl/homosaurus/homoit0001669
MtFs,https://data.ihlia.nl/homosaurus/homoit0000986
FtMs,https://data.ihlia.nl/homosaurus/homoit0000436
Banjees,https://data.ihlia.nl/homosaurus/homoit0000095
Uranisme,https://data.ihlia.nl/homosaurus/homoit0001564
Dandy's,https://data.ihlia.nl/homosaurus/homoit0000326
Clones (homomannen),https://data.ihlia.nl/homosaurus/homoit0000284
GRID (Gay-Related Immune Deficiency),https://data.ihlia.nl/homosaurus/homoit0001980
Hermafrodieten,https://data.ihlia.nl/homosaurus/homoit0001822
Vermomming,https://data.ihlia.nl/homosaurus/homoit0001895
Fairies (Homocultuur),https://data.ihlia.nl/homosaurus/homoit0002230
